2018-04-20 09:20:19,938 - rrc-process[3] - INFO - [('城市', '温州', '共有', 0, '辆二手车,', '总共耗时', 92.1481785774231, '秒')] - [renrenche.py:418]
2018-04-20 09:20:19,938 - rrc-process[3] - INFO - [('城市', '乌鲁木齐', '开始')] - [renrenche.py:381]
2018-04-20 09:20:25,070 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '奥迪', '车辆数:', 0, '耗时:', 3.8900270462036133, '秒')] - [renrenche.py:416]
2018-04-20 09:20:25,944 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '巴博斯', '车辆数:', 0, '耗时:', 0.8319911956787109, '秒')] - [renrenche.py:416]
2018-04-20 09:20:27,061 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '宝骏', '车辆数:', 0, '耗时:', 1.0694801807403564, '秒')] - [renrenche.py:416]
2018-04-20 09:20:30,047 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '宝马', '车辆数:', 0, '耗时:', 2.8628625869750977, '秒')] - [renrenche.py:416]
2018-04-20 09:20:30,870 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '保时捷', '车辆数:', 0, '耗时:', 0.7939484119415283, '秒')] - [renrenche.py:416]
2018-04-20 09:20:31,792 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '宝沃', '车辆数:', 0, '耗时:', 0.8937509059906006, '秒')] - [renrenche.py:416]
2018-04-20 09:20:32,614 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '北京', '车辆数:', 0, '耗时:', 0.7954800128936768, '秒')] - [renrenche.py:416]
2018-04-20 09:20:33,539 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '北汽幻速', '车辆数:', 0, '耗时:', 0.8805687427520752, '秒')] - [renrenche.py:416]
2018-04-20 09:20:34,762 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '北汽绅宝', '车辆数:', 0, '耗时:', 1.1809096336364746, '秒')] - [renrenche.py:416]
2018-04-20 09:20:35,704 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '北汽威旺', '车辆数:', 0, '耗时:', 0.9099104404449463, '秒')] - [renrenche.py:416]
2018-04-20 09:20:36,550 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '北汽制造', '车辆数:', 0, '耗时:', 0.8228855133056641, '秒')] - [renrenche.py:416]
2018-04-20 09:20:39,581 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '奔驰', '车辆数:', 0, '耗时:', 2.8602654933929443, '秒')] - [renrenche.py:416]
2018-04-20 09:20:40,852 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '奔腾', '车辆数:', 0, '耗时:', 1.2080960273742676, '秒')] - [renrenche.py:416]
2018-04-20 09:20:45,258 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '本田', '车辆数:', 0, '耗时:', 4.10371732711792, '秒')] - [renrenche.py:416]
2018-04-20 09:20:47,329 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '标致', '车辆数:', 0, '耗时:', 1.992440938949585, '秒')] - [renrenche.py:416]
2018-04-20 09:20:52,449 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '别克', '车辆数:', 0, '耗时:', 4.783885955810547, '秒')] - [renrenche.py:416]
2018-04-20 09:20:55,568 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '比亚迪', '车辆数:', 0, '耗时:', 2.968235492706299, '秒')] - [renrenche.py:416]
2018-04-20 09:20:57,834 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '长安', '车辆数:', 0, '耗时:', 2.1053638458251953, '秒')] - [renrenche.py:416]
2018-04-20 09:20:59,832 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '长安商用', '车辆数:', 0, '耗时:', 1.8674609661102295, '秒')] - [renrenche.py:416]
2018-04-20 09:21:01,708 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '长城', '车辆数:', 0, '耗时:', 1.7642717361450195, '秒')] - [renrenche.py:416]
2018-04-20 09:21:02,678 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '昌河', '车辆数:', 0, '耗时:', 0.9291806221008301, '秒')] - [renrenche.py:416]
2018-04-20 09:21:03,415 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', 'DS', '车辆数:', 0, '耗时:', 0.7142934799194336, '秒')] - [renrenche.py:416]
2018-04-20 09:21:04,230 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '大发', '车辆数:', 0, '耗时:', 0.7798082828521729, '秒')] - [renrenche.py:416]
2018-04-20 09:21:05,214 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '道奇', '车辆数:', 0, '耗时:', 0.9526982307434082, '秒')] - [renrenche.py:416]
2018-04-20 09:21:20,127 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '大众', '车辆数:', 0, '耗时:', 13.643362760543823, '秒')] - [renrenche.py:416]
2018-04-20 09:21:23,503 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '东风', '车辆数:', 0, '耗时:', 3.215595006942749, '秒')] - [renrenche.py:416]
2018-04-20 09:21:24,521 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '东南', '车辆数:', 0, '耗时:', 0.9902472496032715, '秒')] - [renrenche.py:416]
2018-04-20 09:21:25,576 - rrc-process[3] - INFO - [('地区及品牌', '乌鲁木齐', '菲亚特', '车辆数:', 0, '耗时:', 1.0255262851715088, '秒')] - [renrenche.py:416]
