2018-04-20 09:20:37,175 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '雷克萨斯', '车辆数:', 0, '耗时:', 1.0508768558502197, '秒')] - [renrenche.py:416]
2018-04-20 09:20:38,095 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '雷诺', '车辆数:', 0, '耗时:', 0.861901044845581, '秒')] - [renrenche.py:416]
2018-04-20 09:20:39,018 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '莲花汽车', '车辆数:', 0, '耗时:', 0.8841133117675781, '秒')] - [renrenche.py:416]
2018-04-20 09:20:40,242 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '猎豹汽车', '车辆数:', 0, '耗时:', 1.1515021324157715, '秒')] - [renrenche.py:416]
2018-04-20 09:20:41,232 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '力帆汽车', '车辆数:', 0, '耗时:', 0.9303059577941895, '秒')] - [renrenche.py:416]
2018-04-20 09:20:43,283 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '铃木', '车辆数:', 0, '耗时:', 1.953763723373413, '秒')] - [renrenche.py:416]
2018-04-20 09:20:44,234 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '理念', '车辆数:', 0, '耗时:', 0.897376298904419, '秒')] - [renrenche.py:416]
2018-04-20 09:20:45,173 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '林肯', '车辆数:', 0, '耗时:', 0.8629536628723145, '秒')] - [renrenche.py:416]
2018-04-20 09:20:45,935 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '陆风', '车辆数:', 0, '耗时:', 0.6891918182373047, '秒')] - [renrenche.py:416]
2018-04-20 09:20:47,910 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '路虎', '车辆数:', 0, '耗时:', 1.770998239517212, '秒')] - [renrenche.py:416]
2018-04-20 09:20:49,093 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', 'MG', '车辆数:', 0, '耗时:', 1.1359281539916992, '秒')] - [renrenche.py:416]
2018-04-20 09:20:49,978 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', 'MINI', '车辆数:', 0, '耗时:', 0.8430027961730957, '秒')] - [renrenche.py:416]
2018-04-20 09:20:51,941 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '马自达', '车辆数:', 0, '耗时:', 1.8746161460876465, '秒')] - [renrenche.py:416]
2018-04-20 09:20:52,840 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '纳智捷', '车辆数:', 0, '耗时:', 0.8579013347625732, '秒')] - [renrenche.py:416]
2018-04-20 09:20:53,732 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '欧宝', '车辆数:', 0, '耗时:', 0.8589270114898682, '秒')] - [renrenche.py:416]
2018-04-20 09:20:58,070 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '奇瑞', '车辆数:', 0, '耗时:', 4.0635271072387695, '秒')] - [renrenche.py:416]
2018-04-20 09:21:01,818 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '起亚', '车辆数:', 0, '耗时:', 3.498607873916626, '秒')] - [renrenche.py:416]
2018-04-20 09:21:09,078 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '日产', '车辆数:', 0, '耗时:', 6.874932289123535, '秒')] - [renrenche.py:416]
2018-04-20 09:21:09,954 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '荣威', '车辆数:', 0, '耗时:', 0.8348596096038818, '秒')] - [renrenche.py:416]
2018-04-20 09:21:10,706 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '瑞麒', '车辆数:', 0, '耗时:', 0.7185680866241455, '秒')] - [renrenche.py:416]
2018-04-20 09:21:11,706 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '三菱', '车辆数:', 0, '耗时:', 0.8967809677124023, '秒')] - [renrenche.py:416]
2018-04-20 09:21:12,818 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '上汽大通', '车辆数:', 0, '耗时:', 1.0402398109436035, '秒')] - [renrenche.py:416]
2018-04-20 09:21:13,762 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '双龙', '车辆数:', 0, '耗时:', 0.8886122703552246, '秒')] - [renrenche.py:416]
2018-04-20 09:21:14,806 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '斯巴鲁', '车辆数:', 0, '耗时:', 0.9919633865356445, '秒')] - [renrenche.py:416]
2018-04-20 09:21:18,105 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '斯柯达', '车辆数:', 0, '耗时:', 3.150167226791382, '秒')] - [renrenche.py:416]
2018-04-20 09:21:19,047 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '思铭', '车辆数:', 0, '耗时:', 0.863889217376709, '秒')] - [renrenche.py:416]
2018-04-20 09:21:20,013 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', 'smart', '车辆数:', 0, '耗时:', 0.9029285907745361, '秒')] - [renrenche.py:416]
2018-04-20 09:21:21,292 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', 'WEY', '车辆数:', 0, '耗时:', 1.1949865818023682, '秒')] - [renrenche.py:416]
2018-04-20 09:21:22,359 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '沃尔沃', '车辆数:', 0, '耗时:', 1.009728193283081, '秒')] - [renrenche.py:416]
2018-04-20 09:21:26,147 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '五菱汽车', '车辆数:', 0, '耗时:', 3.564821720123291, '秒')] - [renrenche.py:416]
2018-04-20 09:21:33,380 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '现代', '车辆数:', 0, '耗时:', 6.830193996429443, '秒')] - [renrenche.py:416]
2018-04-20 09:21:36,657 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '雪佛兰', '车辆数:', 0, '耗时:', 3.073512315750122, '秒')] - [renrenche.py:416]
2018-04-20 09:21:39,366 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '雪铁龙', '车辆数:', 0, '耗时:', 2.5732874870300293, '秒')] - [renrenche.py:416]
2018-04-20 09:21:40,193 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '野马汽车', '车辆数:', 0, '耗时:', 0.7834818363189697, '秒')] - [renrenche.py:416]
2018-04-20 09:21:41,095 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '英菲尼迪', '车辆数:', 0, '耗时:', 0.8553152084350586, '秒')] - [renrenche.py:416]
