2018-04-20 09:19:55,726 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '三菱', '车辆数:', 0, '耗时:', 0.7771985530853271, '秒')] - [renrenche.py:416]
2018-04-20 09:19:56,678 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '上汽大通', '车辆数:', 0, '耗时:', 0.9114742279052734, '秒')] - [renrenche.py:416]
2018-04-20 09:19:57,658 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '双环', '车辆数:', 0, '耗时:', 0.9414710998535156, '秒')] - [renrenche.py:416]
2018-04-20 09:19:58,501 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '斯巴鲁', '车辆数:', 0, '耗时:', 0.8012716770172119, '秒')] - [renrenche.py:416]
2018-04-20 09:19:59,197 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '斯柯达', '车辆数:', 0, '耗时:', 0.6508829593658447, '秒')] - [renrenche.py:416]
2018-04-20 09:19:59,936 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', 'smart', '车辆数:', 0, '耗时:', 0.6845672130584717, '秒')] - [renrenche.py:416]
2018-04-20 09:20:00,796 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '威麟', '车辆数:', 0, '耗时:', 0.813849687576294, '秒')] - [renrenche.py:416]
2018-04-20 09:20:01,716 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '沃尔沃', '车辆数:', 0, '耗时:', 0.879143238067627, '秒')] - [renrenche.py:416]
2018-04-20 09:20:03,518 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '五菱汽车', '车辆数:', 0, '耗时:', 1.7139441967010498, '秒')] - [renrenche.py:416]
2018-04-20 09:20:04,330 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '五十铃', '车辆数:', 0, '耗时:', 0.7775838375091553, '秒')] - [renrenche.py:416]
2018-04-20 09:20:08,271 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '现代', '车辆数:', 0, '耗时:', 3.754711627960205, '秒')] - [renrenche.py:416]
2018-04-20 09:20:10,106 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '雪佛兰', '车辆数:', 0, '耗时:', 1.7507030963897705, '秒')] - [renrenche.py:416]
2018-04-20 09:20:11,165 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '雪铁龙', '车辆数:', 0, '耗时:', 1.0100646018981934, '秒')] - [renrenche.py:416]
2018-04-20 09:20:11,952 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '野马汽车', '车辆数:', 0, '耗时:', 0.7508766651153564, '秒')] - [renrenche.py:416]
2018-04-20 09:20:12,805 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '英菲尼迪', '车辆数:', 0, '耗时:', 0.810650110244751, '秒')] - [renrenche.py:416]
2018-04-20 09:20:13,830 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '一汽', '车辆数:', 0, '耗时:', 0.9719226360321045, '秒')] - [renrenche.py:416]
2018-04-20 09:20:14,736 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '中华', '车辆数:', 0, '耗时:', 0.8594813346862793, '秒')] - [renrenche.py:416]
2018-04-20 09:20:15,673 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '众泰', '车辆数:', 0, '耗时:', 0.8868086338043213, '秒')] - [renrenche.py:416]
2018-04-20 09:20:15,673 - rrc-process[0] - INFO - [('城市', '鞍山', '共有', 0, '辆二手车,', '总共耗时', 88.24412655830383, '秒')] - [renrenche.py:418]
2018-04-20 09:20:15,708 - rrc-process[0] - INFO - [('城市', '安阳', '开始')] - [renrenche.py:381]
2018-04-20 09:20:17,825 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '奥迪', '车辆数:', 0, '耗时:', 0.9856059551239014, '秒')] - [renrenche.py:416]
2018-04-20 09:20:18,702 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '宝骏', '车辆数:', 0, '耗时:', 0.8365478515625, '秒')] - [renrenche.py:416]
2018-04-20 09:20:19,704 - rrc-process[0] - INFO - [('地区及品牌', '安阳', '宝马', '车辆数:', 0, '耗时:', 0.9626517295837402, '秒')] - [renrenche.py:416]
